Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
20-03-2026,6,14096.78,12807.85,5890.00,5890.00,3986.80,4009.67
20-03-2026,7,15845.18,13016.00,7457.33,7457.33,4265.36,4268.56
20-03-2026,8,16894.08,15584.10,8206.42,8206.42,3847.63,3849.37
20-03-2026,9,17607.85,21432.40,11194.60,11194.60,2949.04,2953.59
20-03-2026,10,15244.63,26541.33,10104.06,10104.06,2446.00,2443.53
20-03-2026,11,13183.10,35348.45,10301.31,10301.31,2019.97,2015.34
20-03-2026,12,13731.15,40817.75,11326.25,11326.25,1856.94,1856.63
20-03-2026,13,12838.93,43052.45,11709.38,11709.38,1650.82,1649.34
20-03-2026,14,12270.85,44505.50,11642.65,11642.65,1546.85,1546.85
20-03-2026,15,13466.05,40795.93,11442.80,11442.80,1710.15,1705.26
20-03-2026,16,15728.30,33441.05,11246.01,11246.01,2319.84,2321.16
20-03-2026,17,18268.38,26346.13,12030.88,12030.88,3019.40,3019.83
20-03-2026,18,17607.40,18887.20,9487.61,9487.61,3374.96,3371.82
20-03-2026,19,17313.68,12426.95,7869.01,7869.01,5327.34,5218.44
20-03-2026,20,16839.70,9731.25,6397.73,6397.73,6827.41,6865.24
20-03-2026,21,14187.75,11040.10,6412.13,6412.13,4667.58,4667.66
20-03-2026,22,13713.98,10840.90,5726.17,5726.17,4556.03,4556.05
20-03-2026,23,12770.80,10910.55,4633.59,4633.59,4122.92,4121.10
20-03-2026,24,12418.80,12613.00,5031.62,5031.62,3877.66,3878.16
21-03-2026,1,13190.13,16129.88,6063.41,6063.41,3472.24,3472.47
21-03-2026,2,13609.43,17573.28,6462.18,6462.18,3423.28,3424.76
21-03-2026,3,14087.23,19354.90,6919.68,6919.68,3484.66,3485.13
21-03-2026,4,14524.95,20362.98,7400.89,7400.89,3465.22,3465.24
21-03-2026,5,13892.93,19030.80,7110.11,7110.11,3498.64,3499.48
21-03-2026,6,12847.38,14661.48,6093.89,6093.89,3509.59,3527.60
21-03-2026,7,14353.23,12389.85,6690.38,6690.38,4172.48,4190.12
21-03-2026,8,16031.60,13834.53,7624.20,7624.20,4179.01,4180.90
21-03-2026,9,14879.28,20363.50,8665.53,8665.53,3230.61,3254.38
21-03-2026,10,11816.60,29924.25,8040.85,8040.85,2027.50,2027.28
21-03-2026,11,10311.10,39982.88,8246.41,8246.41,1568.57,1568.85
21-03-2026,12,9497.18,44693.53,7864.67,7864.67,1337.32,1336.54
21-03-2026,13,8405.60,48307.20,7964.88,7964.88,1114.56,1114.69
21-03-2026,14,8641.80,50123.93,8001.41,8001.42,1237.00,1235.35
21-03-2026,15,9950.88,43822.38,7977.59,7977.60,1595.88,1595.67
21-03-2026,16,11180.25,35277.38,8140.15,8140.15,2044.44,2044.56
21-03-2026,17,14593.05,26736.45,8611.70,8611.70,2904.47,2894.15
21-03-2026,18,14567.13,19065.63,7898.75,7898.75,3386.35,3388.57
21-03-2026,19,15841.00,14020.58,7955.77,7955.77,4593.23,4587.45
21-03-2026,20,15824.03,13307.98,8026.62,8026.62,4989.27,4994.38
21-03-2026,21,13881.03,14975.58,7926.70,7926.70,4242.36,4242.15
21-03-2026,22,13683.25,14685.63,7334.63,7334.63,4181.96,4182.07
21-03-2026,23,12945.10,13843.73,6025.64,6025.64,3844.25,3844.16
21-03-2026,24,12398.60,14612.38,5931.37,5931.37,3444.48,3445.48
22-03-2026,1,15920.93,20529.43,8910.95,8910.95,3513.44,3515.43
22-03-2026,2,16465.00,23273.98,9547.50,9547.50,3382.53,3382.45
22-03-2026,3,16973.75,24458.38,10052.45,10052.45,3464.50,3464.51
22-03-2026,4,17224.40,25069.53,10442.18,10442.18,3449.55,3449.70
22-03-2026,5,16613.78,23749.58,10087.10,10087.10,3482.10,3481.89
22-03-2026,6,15031.95,20295.63,8874.72,8874.72,3522.56,3532.46
22-03-2026,7,15400.43,18801.15,9485.61,9485.61,3788.58,3791.38
22-03-2026,8,16603.20,20696.45,10420.15,10420.15,3565.49,3569.29
22-03-2026,9,14764.75,28899.00,9877.40,9877.40,2470.42,2487.96
22-03-2026,10,11170.78,39465.78,8085.60,8085.60,1765.39,1764.68
22-03-2026,11,9469.85,49598.55,7878.04,7878.04,1509.33,1508.14
22-03-2026,12,10107.05,55227.35,8412.80,8412.80,1428.49,1428.42
22-03-2026,13,9133.40,56431.85,8527.57,8527.57,1040.98,1041.10
22-03-2026,14,8981.25,57497.38,8529.62,8529.62,992.06,992.24
22-03-2026,15,10255.95,53652.68,8581.18,8581.18,1437.15,1437.88
22-03-2026,16,11150.00,44418.93,8587.06,8587.06,1717.55,1709.30
22-03-2026,17,12071.23,33711.05,7849.90,7849.90,2226.83,2222.82
22-03-2026,18,12317.80,23514.33,7301.48,7301.48,2485.28,2489.55
22-03-2026,19,14154.95,16596.10,8137.40,8137.40,3701.81,3717.50
22-03-2026,20,15074.68,15990.23,9047.93,9047.93,3932.56,3936.04
22-03-2026,21,13487.30,17667.98,8671.50,8671.50,3349.30,3348.42
22-03-2026,22,13343.23,16936.60,7848.85,7848.85,3492.37,3492.54
22-03-2026,23,12603.03,16459.43,7488.98,7488.98,3102.58,3103.10
22-03-2026,24,12173.43,17515.38,7226.30,7226.30,2959.83,2960.25
23-03-2026,1,13535.88,21099.83,7187.02,7187.02,2794.80,2795.27
23-03-2026,2,13657.93,23271.90,7265.15,7265.15,2763.65,2764.08
23-03-2026,3,14203.25,24786.35,7817.35,7817.35,2798.54,2799.93
23-03-2026,4,14325.55,25196.93,7940.50,7940.50,2794.80,2795.06
23-03-2026,5,14125.68,23603.85,7932.90,7932.90,2933.73,2933.67
23-03-2026,6,13683.78,19683.58,7663.70,7663.70,3153.83,3165.92
23-03-2026,7,15753.83,16861.13,8444.35,8444.35,3721.61,3764.19
23-03-2026,8,17399.85,18277.90,9489.35,9489.35,3728.48,3745.49
23-03-2026,9,14637.73,26604.88,9633.88,9633.88,2774.15,2778.06
23-03-2026,10,12690.83,34365.63,8793.78,8793.78,2017.43,2020.46
23-03-2026,11,10457.60,41512.18,9029.81,9029.81,1613.86,1613.45
23-03-2026,12,9905.28,46685.33,8729.47,8729.47,1321.35,1321.98
23-03-2026,13,9058.48,50979.00,8636.03,8636.03,986.76,986.76
23-03-2026,14,9337.65,53391.93,8848.50,8848.50,997.07,997.37
23-03-2026,15,10975.45,48858.38,9442.45,9442.45,1523.48,1524.01
23-03-2026,16,12718.00,40248.43,9023.34,9023.34,1968.05,1965.51
23-03-2026,17,13984.33,29809.30,8974.30,8974.30,2657.23,2650.18
23-03-2026,18,14617.13,18995.40,7861.05,7861.05,3063.73,3070.29
23-03-2026,19,16093.53,13027.10,7866.10,7866.10,4584.69,4575.28
23-03-2026,20,16666.80,12402.85,8190.47,8190.47,5010.19,5010.03
23-03-2026,21,14193.25,14000.88,7957.00,7957.00,3887.36,3887.79
23-03-2026,22,13944.20,14086.33,7172.88,7172.88,3793.61,3794.23
23-03-2026,23,12462.75,14081.43,6024.26,6024.26,3304.54,3305.27
23-03-2026,24,11346.65,14883.00,5755.05,5755.05,3008.01,3008.11
24-03-2026,1,13549.28,16868.33,6874.89,6874.89,2972.03,2976.27
24-03-2026,2,14203.00,18709.93,7557.30,7557.30,2967.77,2969.02
24-03-2026,3,14789.90,20313.43,8012.57,8012.57,3069.53,3072.53
24-03-2026,4,15608.05,21339.98,8516.01,8516.01,3250.97,3252.12
24-03-2026,5,15856.90,20042.40,8680.24,8680.24,3522.15,3521.81
24-03-2026,6,15650.48,15952.58,8296.15,8296.15,3712.93,3734.10
24-03-2026,7,16943.20,13781.38,8395.25,8395.25,4087.96,4098.73
24-03-2026,8,18408.45,15407.20,9236.38,9236.38,4075.06,4085.55
24-03-2026,9,16426.28,24352.88,10031.73,10031.73,3088.84,3101.56
24-03-2026,10,13713.63,34652.60,10069.52,10069.52,2174.72,2168.60
24-03-2026,11,11650.75,44605.30,9839.75,9839.75,1566.35,1566.58
24-03-2026,12,11342.00,49986.15,10001.37,10001.37,1253.11,1251.63
24-03-2026,13,10730.90,53317.48,10236.47,10236.47,1027.99,1027.95
24-03-2026,14,10510.23,56096.88,10127.14,10127.14,988.04,988.07
24-03-2026,15,11702.15,51369.60,10260.35,10260.35,1560.29,1561.46
24-03-2026,16,14433.18,42441.93,10875.25,10875.25,2015.14,2016.38
24-03-2026,17,16106.58,30834.93,10531.10,10531.10,2715.31,2706.49
24-03-2026,18,16054.33,19266.23,9317.51,9317.51,3307.20,3303.53
24-03-2026,19,17437.28,13344.65,9281.08,9281.08,4909.64,4894.24
24-03-2026,20,17957.53,12465.63,9159.00,9159.00,5315.61,5315.52
24-03-2026,21,15723.05,14508.88,9300.75,9300.75,4057.55,4059.51
24-03-2026,22,15523.93,14249.33,8556.38,8556.38,3884.89,3885.22
24-03-2026,23,13575.75,14187.80,6880.48,6880.48,3304.44,3306.17
24-03-2026,24,12858.35,14538.40,6701.55,6701.55,3162.85,3162.95
25-03-2026,1,16249.53,13802.63,7610.27,7610.27,3757.39,3761.88
25-03-2026,2,16915.00,15698.68,8431.40,8431.40,3770.53,3770.26
25-03-2026,3,17611.05,17073.45,9212.84,9212.84,3825.18,3827.21
25-03-2026,4,17604.23,18084.50,8847.35,8847.35,3673.41,3673.29
25-03-2026,5,17288.58,17285.13,8679.10,8679.10,3665.39,3664.67
25-03-2026,6,16580.90,14331.55,8146.85,8146.85,3699.94,3715.26
25-03-2026,7,18176.25,12451.08,8840.70,8840.70,4537.51,4538.83
25-03-2026,8,19292.40,13996.23,9794.97,9794.97,4276.15,4276.49
