date,hour,exchange,mcp,mcv,buy_volume,sell_volume,day_of_week,month,is_weekend,is_peak,grid_period_Evening_Peak,grid_period_Morning_Peak,grid_period_Off_Peak,buy_sell_ratio,daily_avg_mcp,mcp_lag1,mcp_roll7_mean,mcp_roll7_std,mcp_ema_12,mcp_ema_24
2026-03-30,12.0,IEX,1.82057,12015.02,13708.18,46241.9,0,3,0,1,False,False,True,0.29644499895193643,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,10.0,IEX,2.13912,9589.73,13246.38,34045.8,0,3,0,1,False,True,False,0.3890753043285587,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,9.0,IEX,2.84658,10140.28,15008.75,26177.13,0,3,0,1,False,True,False,0.5733535339537399,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,8.0,IEX,4.30291,9695.08,16236.03,14875.33,0,3,0,0,False,True,False,1.0914736001880472,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,7.0,IEX,5.65642,8718.2,16834.18,11631.05,0,3,0,0,False,True,False,1.447348260520462,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,6.0,IEX,4.87849,8437.82,15870.4,11939.83,0,3,0,0,False,True,False,1.3291981532993367,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,5.0,IEX,4.22024,10130.35,17426.8,15227.5,0,3,0,0,False,False,True,1.1444294853755184,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,4.0,IEX,4.07224,9738.23,16958.83,15765.2,0,3,0,0,False,False,True,1.0757129620457002,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,3.0,IEX,4.36029,9323.45,16563.78,14530.28,0,3,0,0,False,False,True,1.1399491261421326,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,2.0,IEX,4.65266,8487.35,16238.8,12471.65,0,3,0,0,False,False,True,1.302057064380369,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,1.0,IEX,6.6102,7936.85,16312.48,10799.35,0,3,0,0,False,False,True,1.5105057234828894,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-30,11.0,IEX,1.80044,10468.07,12065.63,41457.98,0,3,0,1,False,False,True,0.29103275164611664,4.846465416666667,2.9423058333333336,3.7033986309523814,0.6561462859673074,3.8503871858944003,3.970845140357502
2026-03-31,15.0,IEX,1.92879,13783.84,14736.08,45537.78,1,3,0,1,False,False,True,0.323601194365733,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
2026-03-31,16.0,IEX,2.51387,13114.45,15582.75,37991.83,1,3,0,1,False,False,True,0.41016055283197445,6.483502916666667,4.846465416666667,4.201099226190476,1.160665906642106,4.255481913705518,4.171857762462235
